Date,Price,Open,High,Low,Vol.,Change..
2022-02-13,2864.61,"2,917.16","2,952.94","2,838.29",330.09K,-1.80%
2022-02-12,2917.1,"2,927.64","2,984.72","2,858.85",433.29K,-0.36%
2022-02-11,2927.63,"3,071.80","3,136.33","2,880.60",607.93K,-4.69%
2022-02-10,3071.83,"3,243.73","3,277.36","3,058.59",742.54K,-5.30%
2022-02-09,3243.62,"3,115.91","3,266.41","3,055.95",477.82K,4.10%
2022-02-08,3115.88,"3,139.65","3,228.86","3,029.70",664.45K,-0.77%
2022-02-07,3140.18,"3,056.29","3,185.77","2,995.59",568.42K,2.75%
2022-02-06,3056.2,"3,013.75","3,073.23","2,957.16",316.58K,1.41%
2022-02-05,3013.81,"2,994.74","3,058.88","2,963.11",473.62K,0.63%
2022-02-04,2994.99,"2,692.80","2,994.99","2,671.72",908.75K,11.22%
2022-02-03,2692.8,"2,680.66","2,723.97","2,579.80",549.27K,0.44%
2022-02-02,2681,"2,787.16","2,809.57","2,618.07",602.40K,-3.81%
2022-02-01,2787.16,"2,686.82","2,808.60","2,676.32",521.74K,3.73%
2022-01-31,2686.82,"2,602.71","2,704.64","2,478.85",601.73K,3.23%
2022-01-30,2602.77,"2,600.12","2,636.04","2,543.99",381.84K,0.11%
2022-01-29,2600.02,"2,545.95","2,632.51","2,520.14",484.18K,2.12%
2022-01-28,2545.95,"2,424.66","2,556.34","2,362.53",634.50K,5.00%
2022-01-27,2424.66,"2,462.25","2,515.19","2,317.30",774.54K,-1.49%
2022-01-26,2461.41,"2,458.07","2,719.32","2,405.66",1.05M,0.14%
2022-01-25,2458.07,"2,441.01","2,504.32","2,352.36",656.03K,0.70%
2022-01-24,2441.01,"2,540.81","2,540.81","2,161.55",1.56M,-3.93%
2022-01-23,2540.81,"2,412.52","2,547.19","2,373.85",766.83K,5.32%
2022-01-22,2412.52,"2,570.67","2,621.21","2,311.80",1.48M,-6.17%
2022-01-21,2571.29,"3,000.21","3,032.69","2,471.80",1.42M,-14.43%
2022-01-20,3004.72,"3,084.48","3,270.71","2,989.19",481.08K,-2.56%
2022-01-19,3083.65,"3,160.15","3,173.63","3,049.30",459.81K,-2.42%
2022-01-18,3160.15,"3,209.43","3,242.47","3,084.48",399.19K,-1.53%
2022-01-17,3209.35,"3,346.63","3,356.45","3,142.40",375.28K,-4.10%
2022-01-16,3346.59,"3,326.50","3,388.22","3,276.44",295.68K,0.57%
2022-01-15,3327.74,"3,307.84","3,369.95","3,265.41",292.10K,0.60%
2022-01-14,3307.9,"3,241.95","3,341.24","3,195.65",415.18K,2.16%
2022-01-13,3238.03,"3,370.87","3,407.98","3,234.97",462.81K,-3.94%
